   40 1134    42.138
   44 1055    37.334
38005    3    0.201
 5302    3    0.201
33231    3    0.201
12779    3    0.201
39232    3    0.201
45361    3    0.201
17292    3    0.201
47143    3    0.201
 5523    3    0.201
35783    3    0.201
16376    3    0.201
46900    3    0.201
24873    3    0.201
17261    3    0.201
17855    3    0.201
43938    3    0.201
51671    3    0.201
 8626    3    0.201
43017    3    0.201
13165    3    0.201
51952    3    0.201
 4088    3    0.201
51065    3    0.201
39514    3    0.201
21162    3    0.201
55580    3    0.201
 8444    3    0.201
56979    3    0.201
51794    3    0.201
45553    3    0.201
42819    3    0.201
31808    3    0.201
15566    3    0.201
41408    3    0.201
16057    3    0.201
52361    3    0.201
26480    3    0.201
 4114    3    0.201
24505    3    0.201
23664    3    0.201
33121    3    0.201
39708    3    0.201
12813    3    0.201
25434    3    0.201
17847    3    0.201
16615    3    0.201
45274    3    0.201
39477    3    0.201
46735    3    0.201
39560    3    0.201
16368    3    0.201
43031    3    0.201
 7959    3    0.201
34918    3    0.201
14809    3    0.201
26916    3    0.201
29848    3    0.201
24561    3    0.201
35216    3    0.201
25289    3    0.201
39446    3    0.201
 4817    3    0.201
17645    3    0.201
14922    3    0.201
25216    3    0.201
26833    3    0.201
 3411    3    0.201
16609    3    0.201
16263    3    0.201
46961    3    0.201
 8699    3    0.201
18014    3    0.201
36806    3    0.201
51833    3    0.201
40444    3    0.201
32512    3    0.201
42886    3    0.201
45639    3    0.201
18201    3    0.201
36902    3    0.201
37726    3    0.201
 3371    3    0.201
33306    3    0.201
 5170    3    0.201
12818    3    0.201
39283    3    0.201
51620    3    0.201
40750    3    0.201
42744    3    0.201
 8958    3    0.201
15783    3    0.201
25308    3    0.201
39746    3    0.201
16239    3    0.201
15177    3    0.201
16429    3    0.201
15384    3    0.201
30185    3    0.201
33727    3    0.201
34793    3    0.201
24568    3    0.201
24802    3    0.201
45197    3    0.201
50904    3    0.201
12682    3    0.201
36965    2    0.200
41614    2    0.200
25824    2    0.200
31740    2    0.200
51229    2    0.200
31743    2    0.200
12104    2    0.200
28602    2    0.200
15490    2    0.200
56822    2    0.200
26821    2    0.200
20393    2    0.200
22056    2    0.200
45715    2    0.200
12509    2    0.200
36959    2    0.200
30338    2    0.200
46883    2    0.200
32736    2    0.200
43440    2    0.200
35762    2    0.200
32201    2    0.200
39018    2    0.200
53807    2    0.200
49914    2    0.200
55081    2    0.200
48506    2    0.200
55587    2    0.200
  312    2    0.200
28596    2    0.200
37173    2    0.200
39473    2    0.200
38656    2    0.200
33198    2    0.200
55586    2    0.200
39702    2    0.200
29552    2    0.200
13347    2    0.200
34921    2    0.200
19927    2    0.200
33622    2    0.200
40797    2    0.200
12996    2    0.200
48540    2    0.200
49648    2    0.200
38941    2    0.200
40517    2    0.200
 8511    2    0.200
22617    2    0.200
51240    2    0.200
16355    2    0.200
31349    2    0.200
19334    2    0.200
54603    2    0.200
43437    2    0.200
 8850    2    0.200
41319    2    0.200
22600    2    0.200
19343    2    0.200
19344    2    0.200
47312    2    0.200
12125    2    0.200
54613    2    0.200
28103    2    0.200
52045    2    0.200
40606    2    0.200
21309    2    0.200
43194    2    0.200
37149    2    0.200
19934    2    0.200
13857    2    0.200
40607    2    0.200
23707    2    0.200
51128    2    0.200
 7995    2    0.200
11352    2    0.200
50249    2    0.200
52471    2    0.200
48611    2    0.200
32389    2    0.200
57222    2    0.200
13027    2    0.200
52720    2    0.200
43204    2    0.200
19163    2    0.200
41760    2    0.200
53064    2    0.200
51139    2    0.200
29677    2    0.200
 9559    2    0.200
35349    2    0.200
30397    2    0.200
33217    2    0.200
45873    2    0.200
43422    2    0.200
21542    2    0.200
21973    2    0.200
51131    2    0.200
52477    2    0.200
10171    2    0.200
 9522    2    0.200
31195    2    0.200
29690    2    0.200
14112    2    0.200
41696    2    0.200
19062    2    0.200
57632    2    0.200
34280    2    0.200
50276    2    0.200
31206    2    0.200
36659    2    0.200
45511    2    0.200
29338    2    0.200
29538    2    0.200
32737    2    0.200
33717    2    0.200
26125    2    0.200
11366    2    0.200
46232    2    0.200
40610    2    0.200
25983    2    0.200
42741    2    0.200
21440    2    0.200
19097    2    0.200
 7985    2    0.200
28898    2    0.200
13863    2    0.200
22332    2    0.200
15056    2    0.200
46237    2    0.200
34271    2    0.200
32479    2    0.200
19081    2    0.200
 7044    2    0.200
39465    2    0.200
45489    2    0.200
54571    2    0.200
17387    2    0.200
37548    2    0.200
16316    2    0.200
46858    2    0.200
48562    2    0.200
24519    2    0.200
19259    2    0.200
35514    2    0.200
36829    2    0.200
19243    2    0.200
22676    2    0.200
22679    2    0.200
48082    2    0.200
52497    2    0.200
41699    2    0.200
50179    2    0.200
42179    2    0.200
24506    2    0.200
55979    2    0.200
20439    2    0.200
17361    2    0.200
13885    2    0.200
54727    2    0.200
50178    2    0.200
24533    2    0.200
 8008    2    0.200
46868    2    0.200
 6707    2    0.200
31480    2    0.200
31805    2    0.200
44057    2    0.200
47333    2    0.200
26102    2    0.200
24549    2    0.200
24550    2    0.200
55229    2    0.200
57655    2    0.200
15527    2    0.200
38223    2    0.200
 3959    2    0.200
35515    2    0.200
19197    2    0.200
26609    2    0.200
39733    2    0.200
32268    2    0.200
26872    2    0.200
13864    2    0.200
30381    2    0.200
36202    2    0.200
47368    2    0.200
17404    2    0.200
41851    2    0.200
13871    2    0.200
27568    2    0.200
35772    2    0.200
45287    2    0.200
41983    2    0.200
53582    2    0.200
34226    2    0.200
51177    2    0.200
15109    2    0.200
55219    2    0.200
44079    2    0.200
29979    2    0.200
57179    2    0.200
55220    2    0.200
49981    2    0.200
54700    2    0.200
33069    2    0.200
49973    2    0.200
 4285    2    0.200
27513    2    0.200
22195    2    0.200
44896    2    0.200
37211    2    0.200
 5464    2    0.200
53495    2    0.200
31708    2    0.200
20143    2    0.200
22438    2    0.200
33154    2    0.200
48392    2    0.200
51510    2    0.200
43499    2    0.200
24070    2    0.200
51505    2    0.200
33569    2    0.200
11053    2    0.200
22216    2    0.200
36442    2    0.200
11041    2    0.200
44848    2    0.200
22213    2    0.200
53159    2    0.200
31378    2    0.200
36551    2    0.200
55118    2    0.200
57898    2    0.200
51569    2    0.200
22202    2    0.200
 1618    2    0.200
35705    2    0.200
39039    2    0.200
30197    2    0.200
39583    2    0.200
57815    2    0.200
49963    2    0.200
55881    2    0.200
29242    2    0.200
44845    2    0.200
37967    2    0.200
16674    2    0.200
35480    2    0.200
40580    2    0.200
20170    2    0.200
51452    2    0.200
37510    2    0.200
38140    2    0.200
25800    2    0.200
50008    2    0.200
20026    2    0.200
45373    2    0.200
 1227    2    0.200
22461    2    0.200
42906    2    0.200
47254    2    0.200
51425    2    0.200
27414    2    0.200
 5570    2    0.200
34758    2    0.200
33161    2    0.200
54754    2    0.200
51838    2    0.200
22179    2    0.200
49783    2    0.200
44846    2    0.200
42414    2    0.200
31043    2    0.200
43248    2    0.200
 4273    2    0.200
49991    2    0.200
27515    2    0.200
20158    2    0.200
14219    2    0.200
53126    2    0.200
 8161    2    0.200
30101    2    0.200
51807    2    0.200
43544    2    0.200
34150    2    0.200
 5510    2    0.200
22371    2    0.200
37501    2    0.200
54743    2    0.200
28939    2    0.200
41358    2    0.200
48293    2    0.200
49840    2    0.200
49229    2    0.200
19853    2    0.200
43976    2    0.200
16863    2    0.200
22383    2    0.200
10927    2    0.200
28933    2    0.200
16865    2    0.200
52589    2    0.200
46159    2    0.200
22262    2    0.200
13465    2    0.200
27933    2    0.200
38930    2    0.200
39502    2    0.200
40196    2    0.200
 7062    2    0.200
44868    2    0.200
12881    2    0.200
24199    2    0.200
24360    2    0.200
 8120    2    0.200
45414    2    0.200
31510    2    0.200
49231    2    0.200
24352    2    0.200
27886    2    0.200
 1363    2    0.200
20053    2    0.200
21416    2    0.200
34875    2    0.200
36150    2    0.200
21367    2    0.200
44528    2    0.200
26414    2    0.200
51613    2    0.200
 4317    2    0.200
48247    2    0.200
24139    2    0.200
47157    2    0.200
37213    2    0.200
41359    2    0.200
29639    2    0.200
51594    2    0.200
20096    2    0.200
44516    2    0.200
10905    2    0.200
48380    2    0.200
49952    2    0.200
11039    2    0.200
55055    2    0.200
25166    2    0.200
30121    2    0.200
55864    2    0.200
38592    2    0.200
56923    2    0.200
29201    2    0.200
44872    2    0.200
51633    2    0.200
57879    2    0.200
42361    2    0.200
45399    2    0.200
 7742    2    0.200
32537    2    0.200
21099    2    0.200
44865    2    0.200
30993    2    0.200
51618    2    0.200
51821    2    0.200
13427    2    0.200
20307    2    0.200
 8789    2    0.200
44926    2    0.200
44025    2    0.200
 4160    2    0.200
12968    2    0.200
 1903    2    0.200
14293    2    0.200
20302    2    0.200
55573    2    0.200
53286    2    0.200
41931    2    0.200
40538    2    0.200
23914    2    0.200
51902    2    0.200
40162    2    0.200
32707    2    0.200
 5903    2    0.200
22553    2    0.200
23909    2    0.200
26087    2    0.200
27369    2    0.200
22534    2    0.200
38818    2    0.200
38147    2    0.200
16468    2    0.200
23942    2    0.200
  311    2    0.200
51325    2    0.200
37185    2    0.200
30271    2    0.200
20314    2    0.200
22132    2    0.200
 1852    2    0.200
26790    2    0.200
33495    2    0.200
34678    2    0.200
45357    2    0.200
 6790    2    0.200
29268    2    0.200
 6786    2    0.200
49687    2    0.200
 7221    2    0.200
30880    2    0.200
15166    2    0.200
17233    2    0.200
28060    2    0.200
33600    2    0.200
43212    2    0.200
17234    2    0.200
30874    2    0.200
44458    2    0.200
24485    2    0.200
53467    2    0.200
16411    2    0.200
51946    2    0.200
49685    2    0.200
46895    2    0.200
  287    2    0.200
35361    2    0.200
56418    2    0.200
30296    2    0.200
22554    2    0.200
42954    2    0.200
11184    2    0.200
12463    2    0.200
57961    2    0.200
43590    2    0.200
56128    2    0.200
55500    2    0.200
22564    2    0.200
56859    2    0.200
21459    2    0.200
58219    2    0.200
10070    2    0.200
28589    2    0.200
30020    2    0.200
51286    2    0.200
36504    2    0.200
32370    2    0.200
41754    2    0.200
 4245    2    0.200
36674    2    0.200
51395    2    0.200
41955    2    0.200
17046    2    0.200
35411    2    0.200
14256    2    0.200
42918    2    0.200
46524    2    0.200
34175    2    0.200
51882    2    0.200
33183    2    0.200
55560    2    0.200
 8072    2    0.200
36560    2    0.200
26001    2    0.200
40811    2    0.200
45458    2    0.200
39101    2    0.200
55155    2    0.200
43486    2    0.200
43911    2    0.200
46929    2    0.200
53268    2    0.200
47105    2    0.200
41029    2    0.200
33815    2    0.200
42356    2    0.200
51872    2    0.200
 8743    2    0.200
19599    2    0.200
31502    2    0.200
30209    2    0.200
31097    2    0.200
25804    2    0.200
33058    2    0.200
 9824    2    0.200
16531    2    0.200
32072    2    0.200
36435    2    0.200
53196    2    0.200
44840    2    0.200
42440    2    0.200
43576    2    0.200
43269    2    0.200
23956    2    0.200
33499    2    0.200
50050    2    0.200
35698    2    0.200
35998    2    0.200
34693    2    0.200
31811    2    0.200
31125    2    0.200
43474    2    0.200
55998    2    0.200
33497    2    0.200
47286    2    0.200
 4560    2    0.200
27372    2    0.200
19531    2    0.200
20241    2    0.200
51374    2    0.200
56020    2    0.200
 7788    2    0.200
15234    2    0.200
 6802    2    0.200
19588    2    0.200
40234    2    0.200
44013    2    0.200
20240    2    0.200
25075    2    0.200
19582    2    0.200
36672    2    0.200
11130    2    0.200
19578    2    0.200
30929    2    0.200
49751    2    0.200
42925    2    0.200
25218    2    0.200
 4528    2    0.200
49351    2    0.200
40664    2    0.200
33303    2    0.200
21552    2    0.200
30709    2    0.200
41096    2    0.200
39193    2    0.200
17975    2    0.200
43119    2    0.200
56278    2    0.200
15676    2    0.200
41418    2    0.200
29500    2    0.200
38707    2    0.200
44738    2    0.200
54471    2    0.200
25368    2    0.200
14670    2    0.200
58130    2    0.200
58136    2    0.200
57369    2    0.200
49250    2    0.200
12693    2    0.200
23411    2    0.200
20860    2    0.200
42659    2    0.200
40868    2    0.200
35246    2    0.200
55403    2    0.200
14643    2    0.200
50600    2    0.200
10437    2    0.200
38992    2    0.200
49355    2    0.200
21749    2    0.200
44737    2    0.200
11570    2    0.200
46682    2    0.200
39833    2    0.200
43112    2    0.200
15886    2    0.200
24948    2    0.200
45085    2    0.200
41644    2    0.200
49331    2    0.200
13124    2    0.200
 3541    2    0.200
31377    2    0.200
18531    2    0.200
46594    2    0.200
18034    2    0.200
21715    2    0.200
23121    2    0.200
49328    2    0.200
32590    2    0.200
47664    2    0.200
41058    2    0.200
15865    2    0.200
18048    2    0.200
23363    2    0.200
28863    2    0.200
27003    2    0.200
23068    2    0.200
57383    2    0.200
57514    2    0.200
40349    2    0.200
 4427    2    0.200
13608    2    0.200
18012    2    0.200
 3549    2    0.200
49180    2    0.200
29032    2    0.200
46030    2    0.200
25380    2    0.200
50619    2    0.200
42112    2    0.200
50843    2    0.200
34405    2    0.200
44785    2    0.200
33924    2    0.200
58101    2    0.200
27178    2    0.200
29855    2    0.200
17854    2    0.200
20801    2    0.200
46722    2    0.200
31030    2    0.200
14591    2    0.200
46720    2    0.200
17845    2    0.200
18714    2    0.200
24736    2    0.200
39380    2    0.200
27684    2    0.200
19957    2    0.200
29421    2    0.200
26972    2    0.200
56346    2    0.200
 9131    2    0.200
21423    2    0.200
45836    2    0.200
43089    2    0.200
38539    2    0.200
52773    2    0.200
 9105    2    0.200
17818    2    0.200
54332    2    0.200
38003    2    0.200
47552    2    0.200
53934    2    0.200
46577    2    0.200
33270    2    0.200
14584    2    0.200
23517    2    0.200
33272    2    0.200
 1422    2    0.200
53374    2    0.200
27182    2    0.200
39803    2    0.200
27674    2    0.200
23019    2    0.200
17901    2    0.200
50560    2    0.200
42545    2    0.200
13231    2    0.200
50889    2    0.200
28837    2    0.200
33809    2    0.200
30729    2    0.200
53657    2    0.200
23448    2    0.200
55769    2    0.200
26176    2    0.200
52568    2    0.200
11859    2    0.200
53658    2    0.200
11858    2    0.200
33295    2    0.200
20854    2    0.200
 6483    2    0.200
35581    2    0.200
40321    2    0.200
28225    2    0.200
57325    2    0.200
44323    2    0.200
 3620    2    0.200
47070    2    0.200
52241    2    0.200
46040    2    0.200
53916    2    0.200
52243    2    0.200
 7868    2    0.200
34526    2    0.200
 8363    2    0.200
57327    2    0.200
43634    2    0.200
29505    2    0.200
28874    2    0.200
35491    2    0.200
42614    2    0.200
21011    2    0.200
37081    2    0.200
 3403    2    0.200
27639    2    0.200
48828    2    0.200
27111    2    0.200
 7461    2    0.200
36404    2    0.200
31580    2    0.200
25923    2    0.200
27059    2    0.200
 3387    2    0.200
53691    2    0.200
46639    2    0.200
 3230    2    0.200
 3238    2    0.200
29629    2    0.200
34465    2    0.200
41195    2    0.200
53409    2    0.200
36354    2    0.200
23200    2    0.200
38251    2    0.200
49289    2    0.200
53883    2    0.200
15730    2    0.200
38905    2    0.200
 9249    2    0.200
44775    2    0.200
38253    2    0.200
57479    2    0.200
13631    2    0.200
45788    2    0.200
50706    2    0.200
31837    2    0.200
36630    2    0.200
 6376    2    0.200
36694    2    0.200
54859    2    0.200
45122    2    0.200
23263    2    0.200
 3272    2    0.200
41065    2    0.200
57417    2    0.200
 3279    2    0.200
21631    2    0.200
48846    2    0.200
52375    2    0.200
44221    2    0.200
38726    2    0.200
35075    2    0.200
33709    2    0.200
30623    2    0.200
37390    2    0.200
 9271    2    0.200
21615    2    0.200
56311    2    0.200
32672    2    0.200
24877    2    0.200
31593    2    0.200
11673    2    0.200
25431    2    0.200
57446    2    0.200
30604    2    0.200
21036    2    0.200
34462    2    0.200
47730    2    0.200
30606    2    0.200
44270    2    0.200
 9278    2    0.200
46626    2    0.200
42031    2    0.200
40471    2    0.200
18238    2    0.200
52886    2    0.200
39322    2    0.200
30610    2    0.200
18473    2    0.200
53726    2    0.200
15383    2    0.200
23352    2    0.200
33885    2    0.200
27006    2    0.200
39174    2    0.200
 7413    2    0.200
48777    2    0.200
 5135    2    0.200
11625    2    0.200
40869    2    0.200
49300    2    0.200
46516    2    0.200
 7023    2    0.200
48884    2    0.200
15713    2    0.200
 9207    2    0.200
50656    2    0.200
18107    2    0.200
41059    2    0.200
25955    2    0.200
50639    2    0.200
18512    2    0.200
12707    2    0.200
58143    2    0.200
35261    2    0.200
34489    2    0.200
18504    2    0.200
38403    2    0.200
29487    2    0.200
53389    2    0.200
18496    2    0.200
35053    2    0.200
22313    2    0.200
47800    2    0.200
29001    2    0.200
49308    2    0.200
39175    2    0.200
  422    2    0.200
30686    2    0.200
29484    2    0.200
54439    2    0.200
 7917    2    0.200
44278    2    0.200
48785    2    0.200
37399    2    0.200
 4424    2    0.200
41165    2    0.200
52900    2    0.200
40417    2    0.200
46644    2    0.200
35285    2    0.200
31577    2    0.200
18412    2    0.200
45152    2    0.200
53707    2    0.200
44756    2    0.200
10549    2    0.200
 5237    2    0.200
50658    2    0.200
45179    2    0.200
25470    2    0.200
28319    2    0.200
30574    2    0.200
18122    2    0.200
38736    2    0.200
42624    2    0.200
 9217    2    0.200
42507    2    0.200
28762    2    0.200
18442    2    0.200
33695    2    0.200
31958    2    0.200
 3102    2    0.200
50682    2    0.200
18436    2    0.200
  438    2    0.200
51009    2    0.200
29367    2    0.200
51016    2    0.200
56204    2    0.200
52108    2    0.200
51015    2    0.200
27751    2    0.200
33955    2    0.200
 2659    2    0.200
41799    2    0.200
46570    2    0.200
50413    2    0.200
35232    2    0.200
58064    2    0.200
47993    2    0.200
15603    2    0.200
55759    2    0.200
29704    2    0.200
18928    2    0.200
15009    2    0.200
20642    2    0.200
 4912    2    0.200
51030    2    0.200
43397    2    0.200
41240    2    0.200
31799    2    0.200
53001    2    0.200
30443    2    0.200
14513    2    0.200
 8250    2    0.200
57598    2    0.200
 2657    2    0.200
33097    2    0.200
33720    2    0.200
33244    2    0.200
22909    2    0.200
57578    2    0.200
44144    2    0.200
41629    2    0.200
58072    2    0.200
16077    2    0.200
 3731    2    0.200
37121    2    0.200
21844    2    0.200
49467    2    0.200
44348    2    0.200
28199    2    0.200
10253    2    0.200
23556    2    0.200
23555    2    0.200
49460    2    0.200
55808    2    0.200
27734    2    0.200
25884    2    0.200
30444    2    0.200
50993    2    0.200
37309    2    0.200
16097    2    0.200
 4938    2    0.200
35234    2    0.200
33110    2    0.200
32468    2    0.200
35797    2    0.200
28361    2    0.200
41628    2    0.200
20694    2    0.200
48975    2    0.200
17736    2    0.200
57582    2    0.200
57579    2    0.200
27771    2    0.200
19018    2    0.200
19017    2    0.200
53619    2    0.200
40946    2    0.200
21921    2    0.200
45259    2    0.200
57242    2    0.200
34292    2    0.200
20590    2    0.200
43866    2    0.200
45733    2    0.200
52450    2    0.200
55755    2    0.200
30131    2    0.200
23640    2    0.200
23638    2    0.200
37300    2    0.200
31428    2    0.200
45260    2    0.200
32697    2    0.200
43190    2    0.200
36210    2    0.200
19035    2    0.200
46078    2    0.200
40283    2    0.200
55428    2    0.200
27216    2    0.200
36088    2    0.200
10182    2    0.200
19027    2    0.200
 9010    2    0.200
35793    2    0.200
17585    2    0.200
10189    2    0.200
21889    2    0.200
 8429    2    0.200
15586    2    0.200
42510    2    0.200
42164    2    0.200
30785    2    0.200
 3814    2    0.200
26919    2    0.200
53973    2    0.200
48634    2    0.200
  779    2    0.200
18952    2    0.200
38957    2    0.200
33655    2    0.200
48012    2    0.200
10219    2    0.200
48008    2    0.200
31703    2    0.200
32010    2    0.200
42509    2    0.200
57246    2    0.200
38956    2    0.200
29934    2    0.200
21444    2    0.200
25601    2    0.200
22804    2    0.200
49090    2    0.200
18903    2    0.200
51043    2    0.200
57247    2    0.200
33719    2    0.200
37303    2    0.200
44665    2    0.200
43863    2    0.200
40374    2    0.200
52171    2    0.200
39961    2    0.200
34544    2    0.200
33263    2    0.200
35806    2    0.200
24686    2    0.200
55807    2    0.200
33420    2    0.200
53750    2    0.200
21823    2    0.200
30754    2    0.200
36606    2    0.200
17778    2    0.200
18810    2    0.200
 4975    2    0.200
33939    2    0.200
10280    2    0.200
18816    2    0.200
 7862    2    0.200
37378    2    0.200
41301    2    0.200
18767    2    0.200
40312    2    0.200
49405    2    0.200
53747    2    0.200
40311    2    0.200
36785    2    0.200
56252    2    0.200
35886    2    0.200
23538    2    0.200
36789    2    0.200
41181    2    0.200
45547    2    0.200
32299    2    0.200
46263    2    0.200
25558    2    0.200
46757    2    0.200
30136    2    0.200
27712    2    0.200
28648    2    0.200
37312    2    0.200
54104    2    0.200
24307    2    0.200
24678    2    0.200
10775   16    0.196
19903   16    0.196
   82   16    0.196
21852   16    0.196
16462   15    0.195
 6438   14    0.194
 8118   13    0.193
 6051   13    0.193
22703   20    0.191
23949   14    0.185
 1566   14    0.185
10103   13    0.184
40238   13    0.184
13940   13    0.184
 9142   13    0.184
22948   12    0.183
47999   12    0.183
13098   11    0.182
19825   11    0.182
29642   11    0.182
 8910   11    0.182
10185   10    0.181
 8848   19    0.181
19528   18    0.180
 3470    9    0.180
26874   17    0.179
13199   14    0.176
20289   14    0.176
10739   14    0.176
 4423   14    0.176
22912   14    0.176
 4299   14    0.176
 8189   13    0.175
25827   13    0.175
18408   13    0.175
 8825   13    0.175
21046   12    0.174
 6002   12    0.174
36104   12    0.174
 9223   12    0.174
27812   11    0.173
39461   11    0.173
13287   11    0.173
40426   11    0.173
11574   10    0.172
14537   10    0.172
 8327   10    0.172
 2425   10    0.172
 4635   10    0.172
 1021   10    0.172
23654    9    0.171
 6762    9    0.171
 6237    9    0.171
 1825    9    0.171
39761    8    0.170
10139   17    0.170
 6256   15    0.168
20012   15    0.168
 1162   14    0.167
 9152   14    0.167
  121   14    0.167
22390   14    0.167
14741   14    0.167
 6495   13    0.166
13798   13    0.166
10086   13    0.166
13943   12    0.165
29598   12    0.165
 7796   12    0.165
28941   12    0.165
 2665   12    0.165
 9074   12    0.165
 3465   12    0.165
20676   11    0.164
 6616   11    0.164
16467   11    0.164
23221   11    0.164
18216   10    0.163
 5253   10    0.163
25828   10    0.163
13171   10    0.163
26863   10    0.163
 9144   10    0.163
31603   10    0.163
44797   10    0.163
 5065   10    0.163
36719   10    0.163
15745   10    0.163
 1673   10    0.163
23168   10    0.163
39416    9    0.162
 8294    9    0.162
16232    9    0.162
 7456    9    0.162
24337    9    0.162
29518    9    0.162
45144    9    0.162
32809    9    0.162
17146    9    0.162
10428    9    0.162
 1943    8    0.161
22956    8    0.161
 3956    8    0.161
33228    8    0.161
14356    8    0.161
10909   17    0.161
 8635    8    0.161
 6436    8    0.161
10118    8    0.161
32284    8    0.161
14407    8    0.161
10564    8    0.161
11386    7    0.160
17323    7    0.160
 3318    7    0.160
22415   15    0.159
 4046   14    0.158
28298   14    0.158
18275   14    0.158
 6922   13    0.157
29780   13    0.157
20313   13    0.157
 9841   13    0.157
33550   13    0.157
14548   13    0.157
33393   13    0.157
18372   13    0.157
17576   12    0.156
22741   12    0.156
24450   11    0.155
34149   11    0.155
19291   11    0.155
14575   11    0.155
17882   11    0.155
24530   11    0.155
38997   11    0.155
 6828   11    0.155
 8039   10    0.154
11491   10    0.154
12169   10    0.154
38401   10    0.154
14636   10    0.154
 4382   10    0.154
 5344   10    0.154
 5485   10    0.154
 6446   10    0.154
13031   10    0.154
 1405   10    0.154
37225   10    0.154
 8149   10    0.154
 8219    9    0.153
 9760    9    0.153
 1483    9    0.153
23217    9    0.153
10162    9    0.153
 7246    9    0.153
 3185    9    0.153
 6151    9    0.153
31662    9    0.153
24188    9    0.153
10209    9    0.153
11964    9    0.153
10216    9    0.153
 6078    9    0.153
26116    9    0.153
21507    9    0.153
12339    9    0.153
25911    9    0.153
13933    9    0.153
 5822    9    0.153
13988    9    0.153
29877    9    0.153
 7341    9    0.153
44688    9    0.153
24030    9    0.153
15863    9    0.153
 5085    9    0.153
24007    9    0.153
18021    9    0.153
 5127    9    0.153
27661    9    0.153
22446    9    0.153
17124    9    0.153
 3019    9    0.153
35692    9    0.153
 4928    9    0.153
 7345    8    0.152
 4720    8    0.152
15026    8    0.152
34039    8    0.152
16563    8    0.152
24487    8    0.152
 4981    8    0.152
 6857    8    0.152
12085    8    0.152
20879    8    0.152
14653    8    0.152
10432    8    0.152
12084    8    0.152
 5812    8    0.152
38977    8    0.152
19933    8    0.152
 7907    8    0.152
46241    8    0.152
 3580    8    0.152
39162    8    0.152
12516    8    0.152
23294    8    0.152
21164    8    0.152
26506    8    0.152
15514    8    0.152
12269    8    0.152
40226    8    0.152
 7712    8    0.152
 4519    8    0.152
25708    8    0.152
22481    8    0.152
 9235    8    0.152
11723    8    0.152
 4779    8    0.152
 6008    8    0.152
26756    7    0.151
15112    7    0.151
42132    7    0.151
 3850    7    0.151
28104    7    0.151
 8356    7    0.151
35730    7    0.151
29660    7    0.151
30752    7    0.151
14483    7    0.151
39892    7    0.151
 9038    7    0.151
 7269    7    0.151
 1685    7    0.151
22307    7    0.151
 8198    7    0.151
38998    7    0.151
11672    7    0.151
 3291    7    0.151
28675    7    0.151
 4469    7    0.151
27045    7    0.151
25224    7    0.151
 2021    7    0.151
16352    7    0.151
 9977    7    0.151
49193    7    0.151
 3915    7    0.151
26657    6    0.150
 2291    6    0.150
25299    6    0.150
 8609    6    0.150
17753    6    0.150
27618    6    0.150
38577    6    0.150
32130    6    0.150
 7694    6    0.150
13254    6    0.150
11864    6    0.150
17862    6    0.150
17765    6    0.150
14496    6    0.150
16333    6    0.150
24481    6    0.150
21108    6    0.150
13820    6    0.150
19186    6    0.150
21473    6    0.150
 6084    6    0.150
 7728   15    0.150
20397    6    0.150
   48    6    0.150
37034    6    0.150
15995   13    0.148
  587   12    0.147
23315   12    0.147
16663   12    0.147
12520   12    0.147
18324   12    0.147
37534   12    0.147
10993   12    0.147
11866   12    0.147
37466   11    0.146
 1030   11    0.146
 7874   11    0.146
26669   11    0.146
21296   11    0.146
24148   11    0.146
 6856   11    0.146
 8036   11    0.146
26295   11    0.146
18370   11    0.146
 4477   10    0.145
22335   10    0.145
14944   10    0.145
25754   10    0.145
33951   10    0.145
19511   10    0.145
 1888   10    0.145
 8070   10    0.145
18651   10    0.145
32187   10    0.145
14788   10    0.145
21865   10    0.145
54403   10    0.145
22314   10    0.145
42854   10    0.145
11707   10    0.145
11335   10    0.145
15243   10    0.145
20412   10    0.145
26508   10    0.145
29292   10    0.145
  724   10    0.145
 9785   10    0.145
 5195   10    0.145
30057    9    0.144
41777    9    0.144
46650    9    0.144
 4270    9    0.144
 5029    9    0.144
 4055    9    0.144
19472    9    0.144
 9702    9    0.144
27130    9    0.144
11617    9    0.144
 2705    9    0.144
22100    9    0.144
 8094    9    0.144
18339    9    0.144
 7743    9    0.144
23370    9    0.144
15785    9    0.144
 8688    9    0.144
31294    9    0.144
36009    9    0.144
 9811    9    0.144
12010    9    0.144
21993    9    0.144
24881    9    0.144
44048    9    0.144
21495    9    0.144
27564    9    0.144
22488    9    0.144
 3837    9    0.144
28680    9    0.144
14487    9    0.144
26709    9    0.144
24593    9    0.144
 7006    9    0.144
35006    9    0.144
 9968    9    0.144
18907    9    0.144
19640    9    0.144
 1414    8    0.143
 4432    8    0.143
31029    8    0.143
 7329    8    0.143
14384    8    0.143
19173    8    0.143
 2526    8    0.143
28623    8    0.143
 8954    8    0.143
30400    8    0.143
16224    8    0.143
38248    8    0.143
 7529    8    0.143
20557    8    0.143
 4859    8    0.143
 3502    8    0.143
11428    8    0.143
28818    8    0.143
11457    8    0.143
23582    8    0.143
14989    8    0.143
22910    8    0.143
38575    8    0.143
17779    8    0.143
34350    8    0.143
11519    8    0.143
18033    8    0.143
29511    8    0.143
13093    8    0.143
21758    8    0.143
29740    8    0.143
11662    8    0.143
22256    8    0.143
20106    8    0.143
28927    8    0.143
18277    8    0.143
26477    8    0.143
19685    8    0.143
15771    8    0.143
 1252    8    0.143
32712    8    0.143
 8318    8    0.143
22475    8    0.143
23995    8    0.143
